Mycenaean population rebalance report
====================================

Locations rebalanced: 76
Historical target pop size estimate: 100.000 (~1,000,000 inhabitants)
Current input pop size before this run: 99.350
New total pop size: 99.350
Change from current input: 0.000 (0.0%)
Distance from historical target: -0.650 (-0.6%)

New social structure:
- peasants: 94.419 (95.0%)
- nobles: 2.025 (2.0%)
- clergy: 0.995 (1.0%)
- burghers: 1.911 (1.9%)
- tribesmen: 0.000 (0.0%)
- slaves: 0.000 (0.0%)

Location details:
- amorgos: Tier 3 small island community; cycladic/hellenic; 0.650 -> 0.650 total
- andravida: Tier 3 rural center; mycenaean/mycenaean; 1.500 -> 1.500 total
- andritsaina: Tier 3 sparse mountain or pastoral community; arcadian/hellenic; 0.750 -> 0.750 total
- andros: Tier 3 small island community; cycladic/hellenic; 0.650 -> 0.650 total
- angelokastron: Tier 3 sparse mountain or pastoral community; mycenaean/mycenaean; 0.750 -> 0.750 total
- argos: Tier 1 great palace - Mycenae/Tiryns sphere; mycenaean/mycenaean; 3.800 -> 3.800 total
- balat: Tier 3 minor palace or heroic center; ionian/hellenic; 1.500 -> 1.500 total
- bodonitsa: Tier 3 sparse mountain or pastoral community; mycenaean/mycenaean; 0.750 -> 0.750 total
- bodrum: Tier 3 small port; ionian/hellenic; 1.150 -> 1.150 total
- candia: Tier 2 important port and regional center; minoan/minoan; 2.100 -> 2.100 total
- cephalonia: Tier 3 small maritime island port; mycenaean/mycenaean; 1.000 -> 1.000 total
- chania: Tier 2 maritime center; minoan/minoan; 1.550 -> 1.550 total
- chios: Tier 2 maritime center; ionian/hellenic; 1.550 -> 1.550 total
- corinth: Tier 2 important port and regional center; mycenaean/mycenaean; 2.100 -> 2.100 total
- damala: Tier 3 agricultural village; mycenaean/mycenaean; 1.500 -> 1.500 total
- elounda: Tier 3 small port; minoan/minoan; 1.150 -> 1.150 total
- eretreia: Tier 3 small maritime island port; ionian/hellenic; 1.000 -> 1.000 total
- ermioni: Tier 3 small port; mycenaean/mycenaean; 1.150 -> 1.150 total
- farsala: Tier 3 rural center; aeolian/hellenic; 1.500 -> 1.500 total
- gergeri: Tier 3 agricultural village; minoan/minoan; 1.500 -> 1.500 total
- hagios_pavlos: Tier 3 rural village; minoan/minoan; 1.000 -> 1.000 total
- ikaria: Tier 3 small island community; cycladic/hellenic; 0.650 -> 0.650 total
- karystos: Tier 3 small maritime island port; ionian/hellenic; 1.000 -> 1.000 total
- karytaina: Tier 3 sparse mountain or pastoral community; arcadian/hellenic; 0.750 -> 0.750 total
- kleisoura: Tier 3 sparse mountain or pastoral community; mycenaean/mycenaean; 0.750 -> 0.750 total
- kos: Tier 3 small port; dorian/hellenic; 1.150 -> 1.150 total
- kymi: Tier 3 small port; mycenaean/mycenaean; 1.150 -> 1.150 total
- kythnos: Tier 3 small island community; cycladic/hellenic; 0.650 -> 0.650 total
- larissa: Tier 2 inland agricultural center; aeolian/hellenic; 2.000 -> 2.000 total
- leukas: Tier 3 small maritime island port; mycenaean/mycenaean; 1.000 -> 1.000 total
- loidoriki: Tier 3 sparse mountain or pastoral community; pelasgian/hellenic; 0.750 -> 0.750 total
- megara: Tier 3 rural center; mycenaean/mycenaean; 1.500 -> 1.500 total
- milos: Tier 3 small island community; cycladic/hellenic; 0.650 -> 0.650 total
- mykonos: Tier 3 small island community; cycladic/hellenic; 0.650 -> 0.650 total
- nafpaktos: Tier 3 small port; mycenaean/mycenaean; 1.150 -> 1.150 total
- nafplio: Tier 2 regional town; mycenaean/mycenaean; 1.700 -> 1.700 total
- naxos: Tier 2 maritime center; cycladic/hellenic; 1.550 -> 1.550 total
- negroponte: Tier 3 small maritime island port; ionian/hellenic; 1.000 -> 1.000 total
- neopatras: Tier 3 sparse mountain or pastoral community; mycenaean/mycenaean; 0.750 -> 0.750 total
- oreos: Tier 3 small port; ionian/hellenic; 1.150 -> 1.150 total
